Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
271.293,1494.524,197.054,1260.308,1869.388,2888.653,1979.126,1984.222,3310.846
260.806,1593.848,201.419,1284.173,1929.738,2977.575,2057.91,2063.096,3468.818
281.91,1264.351,204.565,1100.245,1899.199,2799.254,1974.909,1979.644,2782.912
375.286,1193.992,248.141,1125.173,1938.519,2879.932,2029.636,2034.248,2641.763
673.313,1525.024,396.498,1231.786,1922.288,2837.931,1983.283,1987.801,2607.161
982.898,2025.096,548.919,1423.772,1993.524,2923.711,2042.732,2047.364,2851.871
1172.45,2360.113,605.481,1483.063,2046.256,2952.553,1984.184,1988.694,2976.053
1057.035,2074.385,559.512,1375.364,1883.405,2756.669,1902.454,1906.704,2710.716
912.159,1867.533,491.53,1333.552,2019.268,2951.015,2045.642,2049.95,2733.451
647.999,1457.257,371.094,1164.674,1855.668,2746.874,1998.96,2003.115,2498.199
430.91,1307.598,258.456,1176.779,1872.857,2892.031,2088.976,2093.638,2818.848
314.877,1352.374,206.255,1187.625,1889.422,2899.163,2006.725,2011.443,3033.326
273.128,1498.558,197.781,1246.571,1899.277,2922.282,2088.028,2092.904,3302.101
271.785,1472.285,196.126,1254.853,1963.807,2996.359,2142.976,2147.911,3296.713
294.056,1265.879,198.916,1128.425,1869.065,2806.888,1945.802,1950.598,2843.951
419.64,1251.343,258.983,1150.564,2098.291,3076.259,2141.226,2145.758,2705.786
709.203,1585.844,400.812,1263.496,1998.079,2951.739,1997.453,2001.908,2697.44
961.326,2003.324,528.618,1411.293,2013.227,2952.408,2042.038,2046.559,2868.374
1140.688,2297.663,603.171,1526.831,2098.732,3014.248,1988.38,1992.845,3000.615
952.42,1880.265,524.54,1330.496,1872.752,2713.103,1869.364,1873.402,2578.19
788.591,1693.385,456.724,1329.049,1984.405,2909.561,2059.671,2063.87,2706.475
599.112,1388.353,357.156,1196.166,1966.169,2880.86,2065.03,2069.13,2547.041
431.927,1243.872,280.125,1187.322,1942.997,2935.632,2113.605,2118.007,2716.18
307.741,1268.436,228.398,1241.802,1880.338,2906.262,2049.335,2054.017,3004.705
272.8,1556.227,221.399,1369.906,1955.188,2995.859,2166.099,2171.238,3477.746
266.344,1485.087,216.192,1304.223,1961.765,3003.847,2114.617,2119.568,3353.807
278.238,1299.844,217.088,1222.398,1911.427,2883.227,2007.092,2011.9,3003.522
390.461,1297.096,269.047,1230.45,2072.772,3033.085,2117.78,2122.471,2833.043
665.055,1543.166,394.616,1281.734,1968.437,2905.351,2023.939,2028.354,2706.556
937.324,2008.955,527.147,1464.78,2070.035,3014.372,2121.993,2126.495,2958.102
1013.548,2130.876,558.247,1486.869,2042.784,2946.389,2049.734,2054.198,2954.019
867.119,1770.686,487.554,1316.154,1833.079,2699.082,1867.182,1871.07,2602.058
832.571,1793.397,464.565,1385.501,1959.679,2908.178,2089.947,2094.313,2834.626
557.547,1362.054,336.113,1206.868,1894.938,2813.01,2137.183,2141.274,2597.424
370.479,1286.09,249.12,1265.76,1874.691,2934.094,2093.272,2097.981,2996.362
290.691,1439.549,209.679,1318.056,1812.521,2864.596,2091.824,2096.738,3314.226
266.17,1679.462,213.722,1406.004,1939.423,2976.622,2210.475,2215.436,3647.734
255.129,1616.22,216.415,1397.249,1975.823,3035.089,2173.593,2178.677,3606.275
247.526,1393.639,205.257,1281.924,1899.581,2864.809,2073.406,2078.425,3193.026
354.731,1282.377,251.936,1221.426,1994.423,2938.067,2172.029,2176.52,2845.272
552.326,1372.225,345.454,1250.651,1899.882,2831.826,2057.8,2062.306,2661.546
803.191,1833.041,466.921,1432.067,2048.437,3021.139,2188.595,2193.103,2972.205
1134.478,2368.786,591.041,1575.934,1989.36,2912.179,2058.152,2062.774,3146.643
885.88,1829.531,503.708,1402.68,1786.923,2673.364,1908.937,1913.255,2733.381
867.057,1879.336,485.983,1449.17,1911.981,2882.981,2163.51,2168.144,2951.101
577.405,1450.178,338.199,1278.828,1853.527,2822.622,2111.064,2115.522,2786.954
379.616,1288.428,245.358,1273.657,1824.584,2878.792,2185.447,2190.33,2996.202
301.293,1411.658,212.015,1336.758,1833.622,2889.699,2165.237,2170.275,3296.222
269.886,1711.605,201.793,1463.593,1870.685,2959.078,2230.882,2236.483,3797.512
264.026,1675.504,207.138,1409.925,1979.59,3037.744,2251.081,2256.303,3677.642
281.889,1364.217,204.793,1240.104,1961.814,2905.751,2101.716,2106.497,3066.356
398.085,1281.494,258.843,1248.236,1979.208,2939.973,2248.834,2253.54,2838.272
542.056,1386.027,329.838,1250.147,1930.512,2884.069,2119.512,2124.013,2722.337
870.941,1912.211,475.01,1446.724,2026.784,2971.687,2347.876,2352.309,2962.321
1098.095,2347.879,572.95,1621.327,1924.614,2906.118,2075.744,2080.72,3284.641
985.175,2050.595,529.993,1489.02,1883.649,2799.341,2070.134,2074.715,2944.72
740.199,1707.398,445.012,1462.639,1921.064,2930.012,2201.012,2205.765,2998.527
564.463,1429.03,338.639,1315.26,1800.538,2780.906,2152.72,2157.252,2826.088
382.12,1381.628,257.49,1395.197,1923.368,3009.151,2244.455,2249.742,3228.283
299.545,1481.236,217.527,1389.751,1867.108,2914.794,2218.326,2223.546,3406.821
272.387,1627.582,207.632,1429.458,1855.505,2875.17,2298.602,2304.03,3602.115
286.165,1679.841,233.387,1496.049,1975.103,3037.25,2328.54,2334.193,3724.138
297.206,1412.7,225.341,1294.643,1890.702,2821.758,2166.361,2171.46,3120.952
409.346,1326.809,265.485,1281.203,1931.153,2875.938,2280.866,2285.675,2882.775
664.003,1580.542,384.832,1376.899,1873.386,2824.306,2163.785,2168.529,2864.27
1157.586,2389.091,600.103,1624.966,1976.723,2893.446,2294.903,2299.664,3177.852
1218.395,2566.678,628.865,1686.893,1948.827,2835.438,2142.187,2147.257,3297.992
980.663,2014.719,528.728,1457.401,1772.06,2624.241,1982.363,1986.941,2819.488
887.173,1915.611,479.995,1504.44,1907.453,2833.69,2228.042,2233.034,2984.113
572.001,1466.15,342.521,1309.967,1813.845,2706.016,2165.305,2170.036,2758.496
354.199,1282.632,234.636,1326.472,1786.361,2763.873,2261.279,2266.559,3003.061
289.887,1413.452,205.359,1389.716,1704.889,2668.884,2182.896,2188.426,3277.448
275.799,1643.544,205.782,1469.334,1765.313,2707.709,2323.361,2328.954,3579.287
269.558,1711.555,208.586,1500.517,1833.242,2801.938,2288.294,2294.261,3708.59
272.446,1369.803,212.441,1319.726,1743.558,2599.348,2114.666,2120.242,3066.009
400.724,1330.913,265.935,1339.023,1901.226,2806.512,2246.752,2252.048,2913.858
532.982,1416.505,317.381,1321.597,1809.447,2682.585,2128.54,2133.566,2765.903
811.002,1899.668,454.668,1518.452,1806.152,2688.613,2155.71,2160.812,3040.013
1030.448,2293.562,544.006,1574.84,1920.175,2765.628,2161.984,2166.732,3144.149
902.623,1915.636,494.285,1424.01,1712.731,2531.375,1992.163,1996.617,2765.836
849.593,1904.414,465.345,1475.193,1850.537,2740.942,2246.021,2250.726,2959.779
564.095,1507.436,340.441,1349.541,1801.431,2693.333,2213.875,2218.591,2849.06
403.708,1386.234,262.012,1354.566,1817.797,2768.157,2295.717,2300.758,3030.481
298.147,1517.187,210.813,1398.823,1760.491,2720.375,2253.951,2259.308,3372.291
267.945,1768.537,206.17,1496.609,1845.103,2834.196,2324.189,2329.751,3785.686
261.25,1733.821,205.757,1466.518,1834.54,2802.108,2341.599,2347.156,3706.457
267.933,1486.413,209.3,1364.543,1760.081,2647.342,2163.68,2168.908,3266.213
416.967,1422.738,278.951,1397.952,1831.015,2724.57,2262.078,2267.277,3023.527
657.761,1642.827,385.009,1428.23,1839.699,2723.658,2224.577,2229.453,2917.122
987.068,2205.682,530.228,1615.23,1824.256,2710.403,2305.392,2310.456,3194.826
1205.679,2568.58,653.061,1733.942,1891.22,2777.663,2153.542,2160.168,3336.852
1101.784,2253.935,597.858,1545.429,1793.267,2619.095,2016.519,2022.197,2931.227
877.734,1956.303,494.787,1497.723,1811.073,2696.779,2235.682,2241.901,2973.431
582.222,1489.746,348.455,1323.803,1763.593,2666.87,2192.052,2197.701,2791.799
398.63,1385.594,255.969,1333.019,1730.779,2681.94,2264.136,2270.27,3021.309
298.104,1428.221,207.275,1349.905,1680.642,2642.546,2220.802,2226.906,3240.755
274.527,1711.138,209.145,1476,1801.582,2766.098,2315.087,2321.35,3674.245
267.023,1737.115,207.866,1478.509,1796.151,2785.953,2385.523,2391.982,3736.996
290.618,1463.506,217.293,1314.19,1750.48,2633.188,2195.01,2201.05,3158.531
400.84,1366.602,262.703,1338.781,1828.595,2764.247,2314.51,2320.763,2983.746
581.25,1543.616,342.365,1370.763,1777.663,2701.217,2222.298,2228.4,2920.419
955.312,2209.085,502.057,1587.149,1907.922,2820.253,2310.893,2317.49,3257.793
1203.173,2596.092,634.75,1722.613,1915.632,2801.243,2230.64,2237.553,3373.306
1069.55,2266.846,590.821,1588.115,1862.066,2710.21,2169.959,2176.606,3049.38
778.861,1840.014,453.96,1476.33,1896.893,2790.534,2328.568,2334.745,2983.341
546.497,1457.74,340.071,1338.353,1831.203,2721.018,2280.985,2287.102,2805.456
361.178,1395.149,247.372,1398.677,1841.877,2834.649,2339.941,2346.446,3184.553
290.228,1517.292,211.809,1392.856,1811.514,2758.912,2312.84,2319.206,3361.874
272.178,1697.953,204.497,1477.998,1852.682,2828.293,2399.02,2405.931,3681.799
272.875,1649.098,206.214,1452.124,1881.422,2855.053,2396.802,2403.447,3602.409
269.709,1464.607,204.557,1370.285,1812.596,2727.55,2268.423,2274.953,3282.11
380.407,1391.775,257.168,1364.405,1888.324,2811.824,2383.366,2389.847,3048.587
580.695,1565.647,348,1400.002,1870.143,2795.116,2291.989,2298.251,2968.19
961.565,2237.627,533.062,1675.016,1946.802,2881.444,2361.431,2368.673,3359.899
1124.979,2494.866,587.1,1689.919,1912.107,2811.33,2290.415,2297.928,3379.442
959.854,2075.178,516.757,1491.861,1762.78,2588.136,2129.801,2136.653,2922.635
876.745,1997.098,477.363,1542.362,1918.903,2814.458,2374.425,2381.074,3087.555
539.999,1462.781,321.709,1326.295,1744.615,2621.02,2309.76,2316.036,2810.048
400.637,1385.324,248.012,1371.499,1797.612,2765.037,2419.103,2425.441,3081.936
303.903,1593.954,211.575,1473.678,1785.679,2759.439,2343.95,2350.806,3532.77
275.123,1869.966,201.244,1548.385,1737.788,2713.458,2447.356,2454.145,3924.443
272.873,1867.102,204.524,1554.92,1807.835,2790.342,2473.514,2480.751,3934.368
259.679,1567.292,196.119,1400.388,1635.367,2537.209,2282.835,2289.397,3420.286
356.944,1429.713,238.422,1371.664,1704.208,2601.154,2380.702,2387.074,3109.33
549.834,1550.589,323.017,1401.406,1757.528,2669.061,2320.166,2326.578,2997.089
981.564,2320.494,526.905,1680.374,1845.395,2769.837,2427.073,2434.428,3424.196
899.165,2172.18,496.174,1573.768,1858.101,2723.538,2346.116,2352.978,3222.909
891.228,2001.033,490.477,1506.857,1693.772,2545.494,2138.728,2145.259,2984.437
808.076,1924.314,447.166,1522.568,1842.483,2728.028,2412.616,2419.376,3083.945
499.437,1459.097,296.735,1333.459,1700.156,2577.376,2343.752,2350.051,2879.903
339.358,1385.742,228.317,1413.202,1768.689,2728.011,2432.144,2438.571,3197.017
265.823,1565.753,196.892,1463.672,1768.836,2716.633,2399.806,2406.472,3521.174
242.659,1858.418,184.332,1561.056,1732.707,2707.393,2503.262,2510.141,3974.049
236.565,1842.57,189.887,1556.061,1845.547,2811.784,2518.346,2525.087,3945.157
250.635,1427.789,195.631,1354.108,1796.391,2672.258,2332.72,2338.96,3217.739
374.785,1398.74,255.958,1415.6,1857.419,2765.317,2443.252,2449.661,3097.905
555.191,1583.766,329.989,1426.463,1826.337,2701.023,2319.353,2325.668,3006.05
792.124,2049.807,436.011,1581.934,1838.315,2713.439,2447.532,2454.401,3285.599
994.624,2369.767,526.236,1697.019,1894.341,2798.594,2352.768,2361.171,3458.582
1093.663,2359.35,574.993,1624.899,1778.255,2595.116,2172.843,2180.333,3139.945
800.582,1924.626,447.107,1538.666,1819.232,2697.481,2398.622,2406.523,3101.754
545.944,1510.795,324.784,1404.725,1754.55,2645.439,2360.978,2367.881,2942.583
336.883,1392.517,223.893,1412.81,1783.538,2738.986,2474.777,2481.473,3206.697
259.886,1538.861,191.583,1469.842,1706.774,2660.655,2423.21,2430.453,3518.359
241.872,1749.418,179.942,1523.708,1728.391,2693.655,2516.884,2524.202,3823.894
243.435,1885.484,188.492,1615.832,1769.277,2776.98,2533.896,2541.263,4084.46
246.828,1564.356,188.177,1407.906,1725.389,2614.792,2348.888,2355.872,3433.645
317.251,1400.858,227.172,1422.815,1781.151,2709.58,2436.125,2442.93,3214.485
572.122,1594.15,341.359,1456.083,1770.977,2678.053,2350.44,2357.614,3051.002
936.772,2231.842,509.074,1677.3,1850.646,2774.171,2401.271,2408.587,3394.137
1115.371,2544.298,593.182,1761.68,1932.727,2822.972,2284.454,2291.891,3495.107
1037.939,2262.703,568.997,1647.509,1775.989,2617.794,2126.212,2133.031,3151.9
850.854,1991.719,474.494,1574.607,1801.385,2690.315,2335.409,2342.119,3136.619
544.733,1523.56,328.575,1406.4,1713.842,2602.712,2307.368,2313.894,2952.049
370.709,1385.156,242.639,1424.55,1728.109,2695.459,2393.083,2399.614,3170.238
284.227,1622.87,198.083,1514.635,1653.261,2615.244,2288.095,2294.932,3624.014
259.638,1812.691,191.211,1580.398,1687.108,2647.352,2373.607,2380.642,3909.519
247.693,1731.061,187.292,1517.842,1654.816,2603.503,2362.716,2369.668,3769.558
242.779,1439.599,186.237,1395.434,1501.692,2379.903,2136.369,2142.798,3290.657
362.994,1375.96,252.407,1420.718,1771.949,2659.006,2332.027,2338.746,3075.053
592.576,1629.656,351.315,1460.391,1665.774,2527.119,2191.602,2198.214,3014.114
980.524,2349.998,525.875,1698.347,1640.931,2470.835,2273.389,2280.675,3379.137
1148.855,2608.312,629.312,1803.95,1707.29,2510.604,2203.832,2212.07,3445.647
931.573,2099.054,522.016,1525.321,1537.248,2260.34,1991.69,1998.485,2900.672
774.71,1895.839,451.646,1530.211,1592.97,2373.761,2253.552,2260.681,2987.615
539.367,1504.001,324.257,1374.931,1475.001,2247.868,2215.675,2222.13,2794.631
332.275,1367.352,227.716,1382.415,1474.481,2299.261,2238.622,2245.22,3021.154
264.127,1521.46,192.046,1454.181,1487.187,2319.002,2240.856,2247.589,3358.016
249.568,1705.408,190.809,1475.387,1507.493,2337.502,2294.045,2301.099,3577.481
247.766,1711.819,194.111,1505.153,1552.46,2423.113,2320.826,2327.674,3652.597
257.134,1417.51,199.581,1357.306,1540.918,2345.614,2152.554,2158.965,3129.208
398.504,1411.702,268.314,1383.926,1601.132,2417.954,2263.042,2269.209,2951.798
529.166,1521.299,323.685,1378.456,1586.851,2393.53,2157.886,2164.178,2859.875
961.035,2315.363,532.488,1717.154,1692.321,2534.478,2272.269,2279.755,3388.637
1132.544,2680.719,613.238,1748.083,1733.397,2526.367,2158.079,2165.526,3483.437
976.77,2241.482,544.634,1581.883,1636.265,2400.103,1975.89,1982.91,3072.818
730.844,1880.266,417.191,1463.396,1782.631,2587.906,2258.708,2265.401,3007.594
434.854,1342.932,276.482,1305.682,1655.016,2465.877,2246.32,2252.456,2754.274
324.489,1381.735,225.247,1408.782,1648.238,2563.589,2310.653,2317.344,3162.822
264.315,1655.405,197.306,1499.898,1645.95,2555.476,2282.041,2289.161,3610.327
236.663,1885.344,181.63,1545.051,1656.935,2570.798,2361.959,2369.006,3933.012
228.994,1851.846,186.032,1546.714,1741.763,2668.017,2361.078,2367.635,3916.344
234.322,1490.89,188.462,1390.1,1701.916,2543.002,2258.533,2264.919,3305.68
337.722,1325.645,254.622,1362.835,1677.424,2516.095,2290.975,2297.211,2941.042
593.079,1590.587,362.028,1448.967,1702.875,2555.282,2190.24,2196.676,2943.29
1046.232,2467.147,576.285,1756.898,1838.407,2716.147,2276.413,2284,3486.854
1150.951,2660.074,631.044,1757.21,1854.332,2687.564,2176.113,2183.505,3475.911
932.607,2148.233,526.25,1536.274,1634.959,2407.806,2002.989,2009.433,3004.941
745.64,1847.86,442.857,1538.09,1818.498,2682.114,2262.285,2269.256,3068.039
460.798,1446.257,293.363,1350.385,1650.539,2495.761,2197.459,2204.072,2894.316
316.178,1371.15,219.322,1381.589,1658.85,2545.045,2271.946,2278.626,3110.114
249.619,1599.765,194.701,1461.12,1641.642,2540.915,2279.144,2286.033,3522.727
232.138,1904.872,189.28,1573.761,1651.369,2594.574,2294.676,2301.708,4007.452
241.523,1842.69,206.042,1553.396,1745.365,2672.156,2325.836,2332.348,3881.823
250.696,1466.938,210.014,1378.999,1669.131,2510.978,2195.942,2202.222,3233.353
365.145,1337.794,281.739,1399.017,1734.573,2601.269,2232.275,2238.615,2962.963
582.897,1570.499,368.33,1433.608,1767.999,2624.782,2153.599,2159.848,2915.913
871.209,2110.009,501.829,1618.444,1763.55,2615.195,2229.661,2236.641,3214.041
961.625,2260.456,544.306,1630.153,1859.741,2676.966,2102.194,2108.9,3208.61
808.568,1901.419,470.457,1483.397,1744.388,2536.868,2039.867,2046.235,2904.639
537.658,1549.054,336.829,1379.909,1738.302,2565.831,2184.651,2190.726,2888.08
392.94,1287.366,269.262,1294.989,1658.703,2481.318,2157.038,2163.028,2748.757
278.831,1350.933,210.27,1387.626,1709.28,2609.058,2262.29,2268.612,3155.558
234.762,1523.022,190.785,1427.437,1671.005,2547.271,2229.194,2235.454,3407.437
220.244,1853.234,184.063,1541.924,1691.006,2612.399,2273.994,2280.64,3918.89
227.419,1740.333,200.423,1510.499,1744.435,2645.434,2325.626,2332.096,3730.458
229.619,1409.794,200.088,1357.954,1656.996,2471.975,2123.241,2129.334,3159.114
355.59,1333.431,272.906,1390.354,1794.124,2633.65,2211.794,2217.856,2940.878
608.217,1619.284,376.361,1434.108,1784.038,2604.581,2105.871,2111.788,2895.274
810.936,2029.522,467.661,1578.833,1831.551,2667.789,2113.365,2119.966,3172.598
1076.113,2430.958,586.346,1693.876,1894.364,2722.019,2135.236,2142.062,3296.855
935.131,2066.928,527.724,1538.468,1699.753,2467.119,1943.098,1949.69,2916.499
843.902,1997.101,486.648,1556.67,1775.551,2603.435,2225.509,2232.13,3057.725
517.608,1487.638,323.25,1352.716,1693.431,2507.872,2177.204,2183.596,2820.329
323.585,1323.463,228.973,1370.559,1756.074,2647.819,2279.31,2285.899,3039.799
244.339,1486.316,187.831,1423.789,1691.014,2577.055,2234.346,2241.066,3370.695
235.093,1730.944,188.923,1512.742,1771.339,2674.818,2348.474,2355.22,3729.894
236.148,1656.142,195.306,1502.147,1752.708,2655.793,2353.266,2359.899,3636.552
247.25,1453.75,201.297,1377.873,1773.501,2598.491,2210.389,2216.609,3214.286
353.809,1350.357,264.381,1392.067,1846.602,2682.791,2301.438,2307.392,2966.377
664.709,1696.068,414.935,1504.027,1880.291,2719.161,2216.954,2223.003,2965.37
1020.025,2381.555,555.799,1704.034,1943.316,2767.492,2223.992,2231.16,3341.11
1241.251,2777.624,672.605,1866.644,1959.648,2800.118,2141.468,2148.935,3578.349
1041.067,2323.887,587.39,1629.346,1735.253,2488.251,1984.323,1991.311,3084.762
884.025,2066.405,513.568,1620.751,1793.246,2626.875,2212.214,2218.926,3129.905
493.327,1424.831,313.883,1348.027,1755.466,2568.027,2219.424,2225.88,2784.665
345.485,1350.304,243.919,1395.05,1726.282,2622.525,2281.559,2288.335,3058.969
259.691,1498.191,204.257,1446.675,1686.611,2585.84,2248.035,2254.428,3386.539
246.471,1668.094,198.253,1499.594,1775.905,2693.206,2369.017,2375.706,3646.954
242.083,1641.747,199.102,1493.384,1779.068,2704.503,2372.256,2378.869,3625.994
269.118,1450.327,217.347,1391.781,1772.541,2608.879,2204.732,2210.874,3198.123
369.192,1344.353,276.007,1400.224,1841.445,2686.865,2338.394,2344.609,2951.013
716.842,1762.551,445.74,1541.478,1831.904,2683.77,2216.867,2223.564,3000.011
906.541,2148.301,518.556,1629.454,1901.791,2725.403,2303.961,2310.399,3182.709
1138.978,2541.943,666.674,1803.382,1952.779,2763.498,2178.548,2185.4,3357.244
1084.305,2337.031,639.161,1706.209,1774.493,2550.874,2011.365,2018.441,3103.23
796.619,1948.676,498.722,1558.638,1843.266,2627.013,2297.169,2303.85,3002.401
445.671,1337.362,322.605,1352.387,1748.543,2544.237,2235.119,2241.243,2723.291
305.254,1296.741,250.97,1390.878,1777.919,2641.826,2318.462,2324.805,3001.644
233.33,1480.064,215.765,1451.828,1763.953,2657.476,2312.324,2318.639,3382.634
223.817,1729.073,218.599,1543.127,1826.429,2730.864,2424.339,2431.02,3740.9
222.06,1681.104,222.387,1519.931,1812.847,2705.073,2405.597,2411.904,3655.121
221.476,1446.094,220.899,1414.064,1717.97,2545.312,2280.593,2286.601,3251.133
360.444,1328.974,306.941,1406.81,1745.37,2556.943,2328.953,2335.153,2886.172
575.013,1512.809,399.605,1453.389,1727.398,2521.677,2193.868,2199.978,2791.969
780.017,1903.942,479.097,1554.299,1833.702,2621.004,2296.879,2303.112,2992.663
1049.979,2383.277,626.913,1750.896,1931.558,2734.233,2189.707,2196.425,3266.675
847.928,1976.625,530.944,1537.896,1840.352,2587.387,2133.127,2139.417,2888.974
593.881,1573.645,404.009,1437.662,1850.025,2624.61,2357.615,2363.57,2793.957
453.238,1332.831,328.147,1345.303,1723.332,2507.259,2272.245,2278.176,2686.606
315.629,1280.945,264.669,1375.9,1731.051,2566.153,2368.994,2374.951,2917.605
228.357,1520.391,222.03,1464.039,1713.638,2577.036,2374.619,2381.134,3403.956
218.204,1808.469,221.824,1561.091,1754.686,2651.488,2451.324,2458,3833.01
204.191,1762.377,223.958,1568.77,1844.996,2732.454,2477.018,2483.307,3796.745
221.82,1469.285,229.795,1420.654,1740.87,2543.751,2319.408,2325.551,3247.348
315.277,1310.418,289.544,1396.984,1811.414,2611.359,2339.675,2345.681,2908.531
510.81,1437.882,382.106,1426.656,1809.111,2588.81,2272.828,2278.71,2757.203
972.277,2231.1,593.689,1737.21,1945.033,2761.024,2358.932,2365.71,3225.112
1010.08,2326.035,609.51,1723.474,1934.695,2706.576,2206.608,2213.392,3208.584
722.404,1719.51,466.94,1446.904,1709.115,2417.067,2039.27,2045.531,2691.284
730.447,1790.701,485.417,1583.977,1893.001,2688.302,2395.334,2401.933,2960.714
407.945,1323.312,309.728,1334.073,1767.037,2530.974,2266.804,2272.738,2709.585
317.539,1336.61,270.696,1402.36,1803.667,2628.863,2441.771,2447.771,2981.932
243.006,1489.887,231.36,1450.203,1760.315,2600.443,2422.754,2429.176,3312.276
218.161,1744,220.466,1533.91,1825.127,2687.357,2439.121,2445.565,3707.957
213.976,1621.84,228.415,1498.671,1818.931,2670.487,2502.32,2508.676,3536.033
224.877,1385.53,231.407,1389.706,1757.708,2540.011,2306.965,2313.003,3107.293
324.489,1354.443,296.087,1426.59,1821.998,2616.81,2406.937,2413.199,2961.53
611.883,1611.67,433.382,1505.585,1899.41,2677.772,2310.176,2316.284,2856.46
1005.328,2276.659,621.535,1756.568,1955.253,2756.249,2367.191,2374.109,3214.277
1190.045,2711.339,695.82,1865.305,2063.121,2838.63,2244.527,2252.166,3473.928
847.835,1956.327,534.772,1530.364,1814.056,2518.228,2040.482,2046.725,2814.498
818.939,1890.35,530.388,1610.935,1995.601,2771.269,2401.886,2408.195,2933.936
588.074,1544.747,405.786,1440.997,1839.772,2597.435,2308.171,2314.282,2755.659
293.74,1382.42,254.579,1433.789,1884.33,2741.76,2455.285,2461.51,3131.545
